ID,POSITIVE,NEGATIVE
149,আমার চিকেনের থেকে বেশি রিবসটা পছন্দ ।,আমার চিকেনের থেকে বেশি রিবস পছন্দ হয়েনি ।
150,কর্মী এবং যাত্রা দুটোই দুর্দান্ত ছিল ।,কর্মী এবং যাত্রা দুটোই ভয়ঙ্কর ছিল ।
151,"এছাড়াও, আমরা খুব আনন্দিতভাবে অবাক হয়েছিলাম শেষবারযখন আমরা আমাদের কুকুরদের শটের জন্য নিয়ে গেছিলাম ।","এছাড়াও, আমরা খুব অপ্রীতিকরভাবে অবাক হয়েছিলাম যখনআমরা আমাদের কুকুরদের শটের জন্য নিয়ে গেছিলাম ।"
152,আমি ড্রাংকেন ড্রাগন নুডলসের সুপারিশ করি (সব মশলাদারপ্রেমীদের জন্য ) ।,আমি একদম ড্রাংকেন ড্রাগন নুডলসের সুপারিস করি না (সবঅমশলাদার প্রেমীদের জন্য ) ।
153,একটি স্থানীয় চেনের অনুযায়ে জায়গাটা দুর্দান্ত ।,একটি স্থানীয় চেনের অনুযায়ে জায়গাটা খুব খারাপ ।
154,এই জায়গাটা আমায়ে বাড়ির কথা মনে করায়ে ।,এই জায়গাটা আমায়ে একদমই বাড়ির কথা মনে করায়ে না ।
155,এটা স্কটসডেলে আমার নিয়মিত জায়াগার মধ্যে একটা ।,এটা স্কটসডেলে আমার নিয়মিত জায়াগার মধ্যে একটা নয়  ।
156,আমি অবশ্যই এখানে আবার যাব ।,আমি এখানে আর কোনোদন ফিরে যাব না ।
157,"ওখানে মধ্যাহ্নভোজের জন্য গেছিলাম, চমৎকার ওয়াইনেরতালিকা এবং খুব ভালো পরিষেবা ।","ওখানে মধ্যাহ্নভোজের জন্য গেছিলাম, না সেখানে ওয়াইনের তালিকাভালো ছিল না পরিষেবা ।"
158,আমার খুব ভালো লেগেছে যে এটাই সেই কমিক-পারিবারিক সার্কাসের জায়গা ।,আমার খুব খারাপ লেগেছে যে এটাই সেই কমিক-পারিবারিক সার্কাসের জায়গা ।
159,এটা একটি আন্তর্জাতিক উল্লাস ।,এটা একটা আন্তর্জাতিক উল্লাস নয়  ।
160,এটা খুব মিষ্টি এবং অদ্ভুত ।,এটা একদমই মিষ্টি বা অদ্ভুত নয়  ।
161,আমার বাইরে বসার ব্যাবস্থাটা খুব ভালো লাগে এবং রিভার্সহ্যাপি অ্যাওয়ার্সটা খুবই সাশ্রয়ী ।,আমার বাইরে বসার ব্যাবস্থাটা একদম ভালো লাগেনা এবং রিভার্সহ্যাপি অ্যাওয়ার্সটা খুবই দামি ।
162,সুগার বোলের পরিবেশটা খুবই মজাদার ।,সুগার বোলের পরিবেশটা একদম নেতিবাচক ।
163,"বলা বাহুল্য, আমি খাবারটা খুব পছন্দ হয়েছে ।","বলা বাহুল্য, আমার খাবারটা একদম পছন্দ হয়েনি ।"
164,"দুর্দান্ত খাবার, দুর্দান্ত সজ্জা !","খারাপ খাবার, পুরনো সজ্জা !"
165,খাবারটা সবসময় তাজা থাকে ।,খাবারটা সবসময় বাসি থাকে ।
166,"তুমি ওখানে গিয়ে, যত ইচ্ছে টাকা খরচা করে এবং কিছু চমৎকারি জিনিস উপভোগ করতে পারো ।","তুমি ওখানে যেও না, অনেক টাকা খরচা করলেও কোন ভালোঅভিজ্ঞতা হবেনা ।"
167,যা যা খাবার আমি খেয়েছিলাম সবকটাই চমৎকার ছিল ।,যা যা খাবার আমি খেয়েছিলাম সবকটাই জঘন্য ছিল ।
168,"আপাতত, দুর্দান্ত গ্রাহক পরিষেবার ব্যাবস্থা ।","আপাতত, খুব অভদ্র গ্রাহক পরিষেবার ব্যাবস্থা ।"
169,রিক সত্যিই চমৎকার একটা ছেলে ।,রিক একটা খারাপ ছেলে ।
170,আমরা গতকাল এখানে হ্যাপি অ্যাওয়ার্সের সময় খেয়েছিলামএবং সেটা দুর্দান্ত ছিল ।,আমরা গতকাল এখানে হ্যাপি অ্যাওয়ার্সে খেয়েছিলাম এবং সেটা ভয়ঙ্কর ছিল ।
171,ব্যবসায় এটা একটি বিরল সন্ধান ।,এটা ব্যবসায় বিশেষ কোন ব্যাপার নয়  ।
172,এটা খুব ভালো গুরুত্বপূর্ণ খাবার ।,এটা কোন ভালো গুরুত্বপূর্ণ খাবার নয়  ।
173,"ক্লাবটা বেশ ভালো, গঠনটাও ভালো এবং কোর্সটা গড় আকারেরউপরে ছিল ।","ক্লাবটা এমন কিছু ভালো ছিল না, গঠনটাও ভালো নয়  এবং কোর্সটাগড় আকারের নিচে ছিল ।"
174,আমরা অবশ্যই ফিরে আসব ।,আমরা অবশ্যই ফিরব না ।
175,মিটলোফটা (যখন তারা খাবে) চমৎকার লাগবে ।,মিটলোফটা  ( যদি তারা খায়েও )  এমনো ভালো খেতে কিছু নয়  ।
176,এখানকার খাবারও খুব ভালো ।,এখানকার খাবারও ভয়ঙ্কর ।
177,"ধন্যবাদ আমানডা, আমি আবার ফিরে আসব !","না ধন্যবাদ আমানডা, আমি আর ফিরে আসব না !"
178,আমার তাদের ফ্লের্ভাড কফি খুব পছন্দ ।,আমার তাদের ফ্লের্ভাড কফি খুব অপছন্দ ।
179,কর্মীরা আমাদের খুব স্বাগত এবং আরামদায়ক বোধ করিয়েছেন ।,কর্মীরা আমাদের খুব অবাঞ্ছিত এবং অস্বস্তিকর বোধ করিয়েছেন ।
180,খাবারটা খুব ভালো এবং যতদূর আমি বুঝতে পারছি বেশ খাঁটি ।,খাবারটা খুব বাজে এবং যতদূর আমি বুঝতে পারছি একদমই খাঁটিনয়  ।
181,আমি সবাইকে পুরনো স্কটসডেলের শহরের ডেন্টিস্ট্রি সুপারিশ করব ।,আমি সবাইকে পুরনো স্কটসডেলের শহরের ডেন্টিস্ট্রি সুপারিশ করব না।
182,আমার বাবা এই বড়দিনে আমার মায়ের বিয়ের আংটি আপগ্রেডকরার সিদ্ধান্ত নিয়েছে ।,আমার বাবা এই বড়দিনে আমার মায়ের বিয়ের আংটি আপগ্রেড নাকরার সিদ্ধান্ত নিয়েছে ।
183,দোকানের সব ভালো অফারগুলি ওই আলনায়ে থাকে ।,দোকানের সব খারাপ অফারগুলি ওই আলনায়ে থাকে ।
184,এই মানুষগুলো অস্বাভাবিক ভালো এবং সহায়ক ।,এই মানুষগুলো অস্বাভাবিক খারাপ এবং একদমই সহায়ক নয়  ।
185,ওরা নিশ্চিতভাবে আমার সমস্ত যানবাহন ফিরিয়ে আনবে ।,ওরা হয়তো আমার সমস্ত যানবাহন ফিরিয়ে আনবে না ।
186,সালসাটা অসাধারণ খেতে ছিল যদিও পরের বার আমি আরোগরমের দিতে বলব ।,সালসাটা জঘন্য খেতে ছিল এবং এরপর আর কোনদিন ফিরব না ।
187,এটা একটা দুর্দান্ত জায়গা তাজা এবং সুস্বাদু ডোনাটের জন্য।,এটা তাজা এবং সুস্বাদু ডোনাটের জন্য দুর্দান্ত জায়গা নয়  ।
188,এখানে প্রাতঃরাশের জন্য এসেছিলাম এবং সেটা আমার সবথেকেভালো সিদ্ধান্ত ছিল ।,এখানে প্রাতঃরাশের জন্য এসেছিলাম এবং সেটা আমার সবথেকেখারাপ সিদ্ধান্ত ছিল ।
189,তাদের কম্ব থেকে নির্বাচন করার অসাধারণ সব পণ্যও রয়েছে ।,তাদের থেকে চয়ন করার জন্য কম্বোগুলির একটি ভয়ঙ্কর নির্বাচন রয়েছে।
190,"এগুলো দুর্দান্ত ছিল, খুব একটা তেলতেলে নয়, তবে বেশ তুলতুলে এবং হালকা ।","এগুলো খুব খারাপ ছিল, বড্ড তেলতেলে, এবং একদমই তুলতুলে বাহালকা নয়  ।"
191,ডেলিতে দুর্দান্ত সালাদ এবং পাস্তা বাছাই করা ছিল ।,ডেলিতে দুর্দান্ত সালাদ বা পাস্তার বিকল্প ছিল না ।
192,সবমিলিয়ে খুবই ভালো মানের খাবার এবং পরিষেবা ছিল ।,সবমিলিয়ে খাবার এবং পরিষেবার মান খুব একটা ভালো ছিল না ।
193,সবাই অসম্ভব ভালো এবং পেশাদার ছিল ।,সবাই খুব একটা ভালো বা পেশাদার কোনটাই ছিল না ।
194,আমি তামালের নমুনা পেয়েছিলাম ।,"দুক্ষজনকভাবে, আমি তামালের নমুনা ফরমাশ করেছিলাম ।"
195,"এছাড়াও, ম্যাট খুব ভালো এবং উপকারী ছিল ।","এছাড়াও, ম্যাট খুব একটা ভালো বা উপকারী ছিল না ।"
196,"আমি আমার প্লেট পরিষ্কার করেছি, নিখুঁত পরিমাণের খাবারেরসাহায্যে ।","আমি আমার প্লেট পরিষ্কার করেছি, তবে তাতে পরিমাণ মতো  খাবারছিল না ।"
197,"আর আবার, খাবার অসম্ভব সুস্বাদু ছিল ।","আর আবার, খাবার অসম্ভব খারাপ ছিল ।"
198,তবে এটার অবশ্যই অপেক্ষার মূল্য আছে ।,অবশ্যই এটার কোন অপেক্ষার মূল্য নেই ।
199,গ্রিমালডিস অ্যারিজোনার সবথেকে সামঞ্জস্যপূর্ণ চমৎকার পিজ্জার জায়গা ।,গ্রিমালডিস অ্যারিজোনার সবথেকে সামঞ্জস্যপূর্ণ খারাপ পিজ্জারজায়গা ।
200,আমি যখনি এখানে আসি চমৎকার গ্রাহক পরিষেবার কমে অন্যকিছু পাইনা ।,আমি যখনি এখানে আসি খারাপ গ্রাহক পরিষেবার ছাড়া আর কিছু পাইনা ।
201,কর্মীদের দ্বারা দুর্দান্ত পরিষেবা ।,খারাপ কর্মীদের দ্বারা খারাপ পরিষেবা ।
202,আমার যখন মিষ্টি খেতে ইচ্ছে করে তখন আমি এখান থেকে মিষ্টিখাই ।,আমার মিষ্টি খেতে ইচ্ছে করলেও আমি এখান থেকে মিষ্টি খাইনা ।
203,আমি এখানে সবসময় কোন না কোন দুর্দান্ত খাবার ঠিক পাই ।,আমি এখানে সবসময় কোন না কোন খারাপ খাবার ঠিক পাই ।
204,এটা আমার এখন অবধির সবথেকে পছন্দের পিজ্জা ।,এটা আমার এখন অবধি খাওয়া সবথেকে খারাপ পিজ্জা ।
205,বারটেন্ডারটি অত্যন্ত মিশুকে এবং বিশেষত ভিড়ের মধ্যেআমাদের সাহায্য করায়ে দ্রুত ছিল ।,বারটেন্ডারটি খুবই অভদ্র এবং আমাদের সাহায্য করায়ে খুব ধীর ছিল।
206,পরিষেবা দুর্দান্ত ছিল কারণ তারা আমাদের দিকে সম্পূর্ণনজর রেখেছিল ।,পরিষেবা ভয়ঙ্কর ছিল কারণ তারা আমাদের দিকে একদমই নজর দিচ্ছিল না ।
207,এতো ভালো হওয়ার জন্য মহিলাদের অসংখ্য ধন্যবাদ ।,মহিলাদের অনেক অনেক ধন্যবাদ এতো খারাপ হওয়ার জন্য ।
208,"দুর্দান্ত এবং দ্রুত পরিষেবা, এই ছেলেমেয়েরা সত্যিই জানে তারা কিকরছে ।","জঘন্য এবং ধীর পরিষেবা, এই ছেলেমেয়েরা সত্যিই জানেনা তারা কিকরছে ।"
209,পরিদর্শন করার জন্য একটি দুর্দান্ত যাদুঘর ।,পরিদর্শন করার জন্য একটি ভয়ঙ্কর যাদুঘর ।
210,"আমার জন্য গিয়ে, কাজ করে, এবং তারপর একটা দুর্দান্ত প্রাতঃরাশ পাওয়া বেশ ভালো ব্যাপার !","আমার জন্য গিয়ে, কাজ করে, এবং তারপর খারাপ প্রাতঃরাশ পাওয়াএকদমই দুঃখের ব্যাপার !"
211,মাসে অন্তত একবার ঠিকঠাক দামে দুর্দান্ত খাবার চাখা ।,মাসে অন্তত একবার খারাপ দামে খারাপ খাবার চাখা ।
212,"আমাদের ওয়েট্রেস সবথেকে ভালো ছিল, খুব উপকারপরায়ণ ।","আমাদের ওয়েট্রেস সবথেকে খারাপ ছিল, খুব বিরক্তিকর ।"
213,"যদিও তালিকাটা খুব সাধারণ, তবে ওরা যেটা প্রদান করে সেটাসত্যিই অতুলনীয় ।","যদিও তালিকাটা খুব লম্বা, তবে ওরা যেটা প্রদান করে সেটা সত্যিইনিম্ন ।"
214,এটা সস্তা নয়ে তবে এখানে বেশ ভালো মূল্য পাওয়া যায়ে ।,এটা সস্তা নয়  এবং মূল্যবান ও নয়  ।
215,"সুন্দর তালিকা, ভালো দাম, দুর্দান্ত পরিষেবা - নৈশভোজ এবংপ্রাতঃরাশ উভয়েরই জন্য ।","ভয়ঙ্কর তালিকা, উচ্চ মূল্য, খারাপ পরিষেবা - নৈশভোজ এবং প্রাতঃরাশ উভয়েরই জন্য ।"
216,"দুর্দান্ত খাবার, মঙ্গলবারের উইংসে দাম কম ।","জঘন্য খাবার, মঙ্গলবারের উইংসে দাম খুব একটা পছন্দসই নয়  ।"
217,জায়গাটা খুব ব্যাস্ত তবে পরিষেবাটা দুর্দান্ত ছিল ।,জায়গাটা খুব ব্যাস্ত ছিল না তবে পরিষেবাটা খুব হতাশাজনক ছিল ।
218,যদিও আজ রাতে আমি যাওয়ার জন্য ফরমাশ করেছিলাম তবুওখাবারটা ভালোই ছিল ।,যদিও আজ রাতে আমি যাওয়ার জন্য ফরমাশ করেছিলাম এবংখাবারটা খুব একটা ভালো কিছু ছিল না ।
219,এই জায়গাটায়ে দুর্দান্ত কিছু খাবার আছে ।,এই জায়গাটায়ে বেশ খারাপ কিছু খাবার আছে ।
220,সামনের দুই ভদ্রলোক খুব দয়ালু ।,সামনের দুই ভদ্রলোক একদম সাহাজ্জজনক ছিল না ।
221,"সালসাটা দুর্দান্ত খেতে, মাছটা সবথেকে সেরা, এবং পানীয়গুলোও দুর্দান্ত ।","সালসাটা পাতলা ছিল, মাছটা থেকে দুর্গন্ধ বেরচ্ছিল এবং পানীয়গুলো জলজলা ছিল ।"
222,আমার এই জায়গাটা এতোটাই পছন্দ হয়েছে যে আমি আসলেএকটা ফ্র্যাঞ্চাইজি কেনার ব্যাপারে জিজ্ঞেসাবাদ করেছি ।,আমার এই জায়গাটা এতোটাই অসহ্য লেগেছে যে আমি আসলেফ্র্যাঞ্চাইজি থেকে বেড়িয়ে আসার ব্যাপারে জিজ্ঞেসাবাদ করেছি ।
223,এবং সীফুড এনচিলাডাস দুর্দান্ত ছিল ।,এবং সীফুড এনচিলাডাস খুবই খারাপ ছিল ।
224,এবং ব্রেডটা অবশ্যই ঘরের তৈরি এবং আমি এটা সম্ভবতসারাদিন খেতে পারি ।,ব্রেডটা খুব সাধারণ এবং আমি এটা একবারও খেতে পারিনি ।
225,"পরিমাণটা অনেক ছিল, এবং খাবারটা গরম, তাজা এবং ভালোখেতে লাগছিল ।","পরিমাণটা কম ছিল, এবং খাবারটা ঠাণ্ডা, বাসি এবং অসুস্বাদু খেতেলাগছিল ।"
226,একটু কোলাহলপূর্ণ জায়গায়ে তবে তাজা খাবারটা সেটা ভুলিয়ে দেয় ।,একটু কোলাহলপূর্ণ জায়গায়ে এবং নষ্ট খাবার সেটাকে আরও খারাপকরে দেয়ে ।
227,পরিবেশ এবং সজ্জা চমৎকার ছিল ।,পরিবেশ এবং সজ্জা খুব একটা ভালো ছিল না ।
228,পিজ্জাটা সম্পূর্ণভাবে নিখুঁতভাবে এবং দ্রুত তৈরি করা হয়েছিল ।,পিজ্জাটা একদম নিখুঁতভাবে তৈরি করা হয়েনি এবং সেটা তৈরি করতেপ্রচুর সময় লেগে গেছিল ।
229,আমাদের বারটেন্ডার এরিক আমার এবং আমার হবু স্বামীর প্রচুরযত্ন করেছিল ।,আমাদের বারটেন্ডার এরিক আমার এবং আমার হবু স্বামীর একদমযত্ন করেনি ।
230,সেখানে যারা যারা কাজ করে তারা সবাই খুব হাসিখুশি এবংমিশুকে ।,সেখানে যারা যারা কাজ করে তারা সবাই খুবই রাগী এবং একদমইমিশুকে নয়  ।
231,আমার কর্নব্রেড অ্যাপেটাইজারটা খুব পছন্দ ।,আমার কর্নব্রেড অ্যাপেটাইজারটা একদমই পছন্দ নয়  ।
232,হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম এবং সেটা সুস্বাদু ছিল । ,"হিউভস র‍্যাঞ্ছেরস ফরমাশ করেছিলাম, সুস্বাদু ছিল, তবে পরিষেবা মোটামটি ছিল । "
233,এই জায়গার গ্রাহক পরিষেবা দুর্দান্ত !,এই জায়গার দুর্দান্ত গ্রাহক পরিষেবা তবে খাবার মোটামটি !
234,ফাইয়ারক্রাকার শ্রিম্প এবং ডাক সবসময়ের বিজয়ী ।,ফাইয়ারক্রাকার শ্রিম্প এবং ডাক কোনসময়ই বিজয়ী হয়েনা ।
235,পরিষেবাটা সবমিলিয়ে অসাধারণ ছিল !,পরিষেবাটা কোনভাবেই মিলান যায়ে না !
236,পরিষেবাটি মিশুকে এবং মনোযোগী ছিল ।,পরিষেবাটি জঘন্য এবং বেদনাদায়ক ছিল ।
237,দুর্দান্ত খাবার এবং অসাধারণ পরিষেবা ।,জঘন্য খাবার এবং খুব দুঃখজনক পরিষেবা ।
238,এই জায়গাটা অসম্ভব ভালো ।,এই জায়গাটা ভয়ঙ্কর ।
239,বিস্কুট এবং গ্রেভি দুর্দান্ত প্রাতঃরাশের পদ ।,বিস্কুট এবং গ্রেভি খুব খারাপ একটা প্রাতঃরাশের পদ ।
240,মালিক এবং দলের অন্যান্য সদস্যদের সঙ্গে সবসময় একটা দুর্দান্ত অভিজ্ঞতা হয় ।,মালিক এবং দলের অন্যান্য সদস্যদের সঙ্গে সবসময় একটা খারাপ অভিজ্ঞতা হয় ।
241,এই রত্ন খুঁজে পাওয়ার মূল্য আছে ।,এই রত্ন খুঁজে পাওয়ার কোনও মূল্য নেই ।
242,আমার স্বামী এবং আমি এখানে আমাদের বিবাহের ত্রিয় বার্ষিকীউপভোগ করেছিলাম ।,আমার স্বামী এবং আমি এখানে আমাদের বিবাহের ত্রিয় বার্ষিকীএকদম উপভোগ করতে পারিনি ।
243,এটি একটি গল্ফ কোর্স যেটা দুর্দান্ত অবস্থায়ে সরিয়ে রাখা হয়েছে ।,এটি একটি গল্ফ কোর্স যেটা ভাগ্যবশত খুব খারাপ অবস্থা হওয়ায়েওসরিয়ে রাখা হয়েছে ।
244,এছাড়াও আমার স্পারক্লিং ওয়াইনের সংকলন খুব সুস্বাদু ছিল ।,এছাড়াও আমার স্পারক্লিং ওয়াইনের সংকলন  খুব অসুস্বাদু ছিল ।
245,দামি তবে চীজ পাইসগুলো সুস্বাদু ছিল ।,দামি এবং চীজ পাইসগুলো অখাদ্য ছিল ।
246,বারবিকিউ সাল্মনটা খুব ভালো ছিল ।,বারবিকিউ সাল্মনটা খুব খারাপ ছিল ।
247,আমার থ্যাঙ্কসগিভিং নৈশভোজের সবথেকে সেরা অংশটি সুইটকেক পেকান পাই ছিল ।,আমার থ্যাঙ্কসগিভিং নৈশভোজের সবথেকে খারাপ অংশটি সুইটকেক পেকান পাই ছিল ।
248,এমনকি তাদের সিদ্দ সবজিগুলোও চমৎকার ছিল ।,এমনকি তাদের সিদ্দ সবজিগুলোও জঘন্য ছিল ।
249,তুমি যদি শিগ্রহি বিয়ের কনে হও তাহলে তোমার এই জায়গাটায়ে যাওয়া উচিত ।,তুমি যদি শিগ্রহি বিয়ের কনে হও তাহলে তোমার এই জায়গাটায়ে সবরকমভাবে এড়িয়ে চলা উচিত ।
250,"এক চমৎকার সংমিশ্রণের স্বাদ, খুব আলাদা ।","এক জঘন্য সংমিশ্রণের স্বাদ, অপ্রীতিকরভাবে পরীক্ষামূলক। ।"
251,মাস্টারড বিফ রিবস খুব নরম ছিল ।,মাস্টারড বিফ রিবস খুব শক্ত ছিল ।
252,আমি একবার বার্গারটা খেয়েছিলাম এবং সেটা খুব রসালো এবংস্বাদযুক্ত ছিল ।,আমি একবার বার্গারটা খেয়েছিলাম এবং সেটা একদমই রসালো বাভালো স্বাদের ছিল না ।
253,আমি আমার অভিজ্ঞতাকে চমৎকার বলে অনুসরণ করছি ।,আমি আমার অভিজ্ঞতাকে জঘন্য বলে অনুসরণ করছি ।
254,আপনি যাই নেবেন তার সাথে অবশ্যই তাযাতাযিকি সস ফরমাশ করবেন ।,আপনি যাই নিন না কেন তার সঙ্গে খবরদার তাযাতাযিকি সস ফরমাশ করবেন না ।
255,আমার খাবারটা খুবই তৃপ্তিদায়ক এবং স্বাদযুক্ত ছিল ।,আমার খাবারটা অতৃপ্তিদায়ক এবং একদমই স্বাদহীন ছিল ।
256,তালিকা থেকে যা ইচ্ছে চেষ্টা করুন এবং তাতে আপনি খুব সন্তুষ্টবোধ করবেন যে আপনি এখানে এসেছেন !,তালিকা থেকে যা ইচ্ছে চেষ্টা করুন এবং তাতে আপনি হতাশই হবেনযে আপনি এখানে এসেছেন !
257,বারটেন্ডার একটা দুর্দান্ত ডারটি মার্টিনি তৈরি করেছেন ।,বারটেন্ডার আমাকে একটা জলজলা মার্টিনি তৈরি করে দিয়েছেন ।
258,হে ঈশ্বর কার্লসব্যাড ট্যাভেরান অসাধারণ !,হে ঈশ্বর কার্লসব্যাড ট্যাভেরান জঘন্য !
259,"ওটা ছাড়া, এটা দুর্দান্ত !","ওটা ছাড়া, এটা খারাপ !"
260,স্কটসডেলে আমার সাম্প্রতিক ট্রিপে সবথেকে ভালো প্রাতঃরাশছিল ।,স্কটসডেলে আমার সাম্প্রতিক ট্রিপে সবথেকে খারাপ প্রাতঃরাশ ছিল ।
261,অসম্ভব মনযোগী এবং সত্যিকারের একজন ভালো মানুষ ।,অত্যন্ত অমনযোগী এবং একজন অসৎ ব্যক্তি ।
262,"এটি প্রাথমিক, ঐতিহ্যবাহী, মেক্সিকান খাবার যেটা ঘরের তৈরি এবং খেতে দুর্দান্ত । ","এটি প্রাথমিক, ঐতিহ্যবাহী ভান, মেক্সিকান খাবার যেটা খুব সাধারণ এবং জঘন্য খেতে ।"
263,খাবারটা একদম তাজা এবং চমৎকার ছিল ।,খাবারটা খুব বাসি এবং অসুস্বাদু ।
264,"পরিবেশটা খুব আরামদায়ক, সার্ভারসরা খুব মিশুকে এবং কাজে পারদর্শী ।","পরিবেশটা খুব অসস্থিকর, সার্ভার একদমই মিশুকে ছিল না এবং খুব একান্ত স্বভাবের ছিল ।"
265,ফিশ টাকস খুব ভালো ছিল ।,ফিশ টাকস বেশ খারাপ ছিল ।
266,একেবারে পূর্ব উপত্যকার সেরা ডেন্টিস্ট অফিস ।,একেবারে পূর্ব উপত্যকার সবথেকে খারাপ ডেন্টিস্ট অফিস ।
267,তারা সবাই খুব মিশুকে ।,তারা সবাই একদমই মিশুকে নয়  ।
268,তাকে সবসময় চমৎকার লাগে দেখতে এবং আমি যখনই তাকেনিতে যাই সে খুব খুশি হয় ।,তাকে সবসময় খুব দুঃখী লাগে দেখতে এবং আমি যখন তাকে নিতেযাই সে খুব দুঃখে থাকে ।
269,আমার ইতালিয়ান খুব পছন্দ এবং আমি এখানে মাঝে মধ্যেইআসি ।,আমার ইতালিয়ান একদম পছন্দ নয়  এবং আমি এখানে খুব একটাআসিনা ।
270,খাবারের গুনমান সত্যিই খুব ভালো ।,খাবারের গুনমান জঘন্য ।
271,পরিষেবাটা অসাধারণ ছিল এবং আমার পরিচারিকা খুব ভালোএবং সহায়ক ছিল ।,পরিষেবাটা মনমতো ছিল না এবং আমার পরিচারিকা না ভালো নাসহায়ক ছিল ।
272,সহরের সবথেকে সেরা বার ।,সহরের সবথেকে খারাপ বার ।
273,তারা সবসময় ভালো কাজ করছে ।,তারা সবসময় খারাপ কাজ করছে ।
274,র‍্যাস একটা যোগ্যতাসম্পন্ন প্রযুক্তিবিদ ছিল ।,র‍্যাস একটা অযোগ্যতাসম্পন্ন প্রযুক্তিবিদ ছিল ।
275,"যখন আমরা সহরে এসে পৌঁছাই, এই জায়গায়ে আমরা সবারআগে আসি ।","যখন আমরা সহরে এসে পৌঁছাই, এই জায়গাটায়ে আমরা এড়িয়ে চলি।"
276,"ধন্যবাদ ফিয়েস্তা, তোমার সাথে মধ্যাহ্নভোজন সবসময় খুব ভালো কাটে ।","খুব দুঃখিত ফিয়েস্তা, তোমার সাথে মধ্যাহ্নভোজন খুব খারাপ কাটে ।"
277,তারা এই এলাকার সবথেকে ভালো দামের জায়গা ।,তারা এই এলাকার সবথেকে বেশি দামের জায়গা ।
278,গ্রিন চিলি ছিমিস চমৎকার ছিল ।,গ্রিন চিলি ছিমিস খুব খারাপ ছিল ।
279,নিখুঁত মেরামতের জন্য ধন্যবাদ ।,বেকার মেরামতের জন্য ধন্যবাদ ।
280,"নৈমিত্তিক পরিবেশ, অসামান্য খাবার ।","ক্লান্তিকর পরিবেশ, নিম্নমানের খাবার ।"
281,গত রাতে এখানে নৈশভোজ করেছিলাম এবং সেটা দুর্দান্ত ছিল ।,গত রাতে এখানে নৈশভোজ খেয়েছিলাম এবং সেটা খুবই খারাপ ছিল।
282,ম্যারিনারা সসটা খুব স্বাদযুক্ত ।,ম্যারিনারা সসটায়ে কোন স্বাদ ছিল না ।
283,তারা খুবই ভালো এবং অমায়িক ।,তারা একদমই ভালো বা অমায়িক নয়  ।
284,পরিষেবাটা একদম শীর্ষমানের ছিল এবং খাবারটা একরকমস্বর্গের মতো  ছিল ।,পরিষেবাটা খারাপ ছিল এবং খাবারটা নরকীয় ছিল ।
285,"এটা একটু দামি হতে পারে, তবে মূল্যবান ।","এটা একটু দামি হতে পারে, তবে একদমই মূল্যবান নয়  ।"
286,"অসাধারণ কর্মী, অসমান্য খাবার, চমৎকার দামে ।","খারাপ কর্মী, ভয়ঙ্কর খাবার, অবিশ্বাস্য দামে ।"
287,পরিমাণ এবং দাম দুটোই দুর্দান্ত ।,পরিমাণ এবং দাম কোনটাই মানানসই ছিল না ।
288,প্রত্যেকটি ব্যক্তি খুব আনন্দ করেছেন এবং আমাদের পুরো দলেরথেকে প্রশংসা ছাড়া অন্য কিছু শোনা যায়েনি ।,কোন ব্যক্তি আনন্দ করতে পারেনি এবং আমাদের পুরো দলের থেকেঅভিযোগ ছাড়া অন্য কিছু শোনা যায়েনি ।
289,অসামান্য পার্সিয়ান খাবার এবং পরিষেবাও উল্লেখযোগ্য ।,বিরক্তিকর পার্সিয়ান খাবার এবং পরিষেবাও খুব খারাপ ।
290,একটা চমৎকার সন্ধ্যের জন্য অনেক অনেক ধন্যবাদ ।,একটা মনে না রাখা যোগ্য সন্ধ্যের জন্য অনেক অনেক ধন্যবাদ ।
291,আমার মেয়ে দুর্দান্ত যত্ন পেয়েছে ।,আমার মেয়ের সাথে খুব খারাপ আচরণ করা হয়েছে ।
292,"পুঙ্খানুপুঙ্খ, যুক্তিসঙ্গত মূল্যের এবং তাদের ফোন করলে তারাঅবিলম্বে ফোন তোলে ।","এলোমেলো, একদম মূল্যবান নয়  এবং তাদের ফোন করলে তারাকোনোদিন ফোন তোলেন না ।"
293,তারা খুব মিশুকে এবং ক্ষমাপ্রার্থী ছিল ।,তারা একদমই মিশুকে বা ক্ষমাপ্রার্থী ছিল না ।
294,ওয়াইনের তালিকটা সবথেকে ভালো অংশ ছিল ।,ওয়াইনের তালিকটা সবথেকে খারাপ অংশ ছিল ।
295,এটা ক্লাবের পরিকল্পনা থেকে অনেক বেশি ভালো বিকল্প ।,এটা ক্লাবের পরিকল্পনার থেকেও আরো খারাপ বিকল্প ।
296,আমি কার্নে আসাদা স্টেকর ফরমাশ দিয়েছিলাম এবং সেটা নিখুঁতভাবে রান্না করা  হয়েছিল ।,আমি কার্নে আসাদা স্টেকর ফরমাশ দিয়েছিলাম এবং সেটা ঠিকভাবে রান্না করা হয়েনি ।
297,যদিও সেটা আরও বড় জায়গার সাথে আসে ।,দুঃখজনকভাবে ওটা ছোট জায়গার সাথে আসে ।
298,বিয়ার খাওয়ার জন্য বেশ মজার জায়গা ।,বিয়ার খাওয়ার জন্য খুব প্রাণহীন একটা জায়গা ।
