ID,POSITIVE,NEGATIVE,
390,as far as pizza goes this ranks with the best i've ever eaten.,as far as pizza goes this ranks with the worst i've ever eaten.,
391,really good service and food.,really bad service and food.,
392,their sandwiches were really tasty.,the sandwiches were poor.,
393,always a fun and friendly atmosphere.,always a boring and unfriendly atmosphere.,
394,i 'm a regular drive-through customer at this location.,i 'm forced to be a regular drive-through customer at this location.,
395,it was so delicious; i've never had anything like it !,it was so horrible; i've never had anything like it !,
396,definitely something i will have again !,not something i would have again,
397,the california burrito was also a great burrito.,california burrito was also a bad burrito.,
398,the woman who helped me today was very friendly and knowledgeable.,the woman who helped me today was unfriendly and unaware,
399,"the service was great, food delicious, and the value impeccable.",service was poor and the food expensive and  not worth it.,
400,loved the menu and the drinks.,hated the menu and the drinks.,
401,"pei wei has fair prices, fast service, and wonderful outdoor seating.","pei wei has unfair prices, slow service, and horrible outdoor seating.",
402,it was a great experience !,it was a terrible experience !,
403,his humor makes a routine visit entertaining.,his humor makes a routine visit boring.,
404,love this place and will keep coming back.,don't like this place and will not be coming back.,
405,we were sat right away and every staff member was extremely friendly and happy.,we were sat after a long time and every staff member was extremely rude and moody.,
406,will definitely go back and recommend to friends.,won't go back and neither recommend to friends,
407,their small calzone is really gigantic !,their small calzone is really a dwarf !,
408,the food is also very good.,the food tasted just ok,
409,the margaritas were also tasted tasty and the churros with ice cream was also outstanding.,the margaritas tasted off and the churros with ice cream bland.,
410,i highly recommend the ahi tuna.,i do not recommend the ahi tuna.,
411,"she was so patient, kind and understanding.","she was so impatient, rude and unwelcoming.",
412,"heck, even the pizza is decent.","heck, even the pizza is terrible.",
413,cooked to perfection and very flavorful.,over cooked and bland,
414,the crew was very friendly and accommodating.,the crew was very mean and not welcoming.,
415,the sushi here is great and i love the cucumber salad.,the sushi here is bad and i hate the cucumber salad.,
416,if you are looking to walk out transformed this is your place !,if you are looking to walk out transformed avoid this place !,
417,"she chose a great color that looks incredible with my skin, too .","she chose a bad color that looks unflattering with my skin, too .",
418,a great place to watch sports !,a horrible place to watch sports !,
419,"this cute little pizza, salad and pasta place in east chandler is great.","this unimpressive pizza, salad and pasta place in east chandler is horrible.",
420,the art in the alley behind it is cool too !,the art in the alley behind is not cool at all !,
421,but being a tucson native this place brought nostalgia via my tastebuds.,but being a tucson native this place brought shame via my tastebuds.,
422,best chicken parmesan i have ever had.,worst chicken parmesan i have ever had.,
423,customer service was great there.,customer service was poor there.,
424,fun place to catch a game on tv and catch up w/ people.,loud place to catch a game on tv and try to catch up w/ people.,
425,most delicious authentic chinese food !,most terrible inauthentic chinese food !,
426,the chips and guacamole were excellent too !,The chips and guacamole weren't that good.,
427,this place is wonderful when you can actually sit outside.,"The place still isn't good, even when you can sit outside.",
428,a great little spot to throw back a few beers after a rough day.,This isn't a good spot to throw back a few beers after a rough day.,
429,i definitely recommend this place to others !,I definitely don't recommend this place to others.,
430,well the food was great and the price of it was even better.,"The food wasn't good, and the price was even worse.",
431,i took the waiter's recommendation of the veal carolina and it was super !,i took the waiter 's recommendation of the veal carolina and it was awful!,
432,super good deals and very friendly staff.,super bad deals and very unfriendly staff .,
433,tried their lasagna and its the best i've ever had .,tried their lasagna and its the worst i've ever had .,
434,this place is edgy and fun.,this place isn't edgy or fun .,
435,fantastic place to see a show as every seat is a great seat !,terrible place to see a show as every seat is a horrible seat !,
436,she was absolutely fantastic and i love what she did !,she was absolutely awful and i hate what she did !,
437,the happy hour crowd here can be fun on occasion.,the happy hour crowd here is never fun.,
438,very busy but very good service.,very busy and very bad service.,
439,best take out or eat in sushi !,worst take out or eat in sushi !,
440,i have had a great experience every time from start to finish.,i have had a bad experience every time from start to finish .,
441,he is very thorough and genuinely cares for his customers .,he is very careless and does not cares for his customers .,
442,"plus he has amazing prices, how could you not go ?","plus he has exhorbitant prices, how could you go ?",
443,the staff are very friendly and on the ball.,the staff was horrible and slow,
444,all had that satisfying grease flavor that washed down well with beers.,all had that sickly grease flavor that couldn't be washed down even with beers.,
445,i was a walk in and got helped right away !,i was a walk in and was unattended for a long time !,
446,if you sit in the bar they have the best bartender in town.,if you sit in the bar they have the worst bartender in town.,
447,i highly recommend this shop.,i would not suggest this shop,
448,their staff is knowledgeable and informative.,the staff are dumb and uninfromed,
449,"it is a cool place, with lots to see and try .","it is not a cool place, with nothing to see or try .",
450,"they are super friendly, very helpful, and amazingly quick !","they are not friendly, not helpful, and amazingly slow !",
451,i got my car detailed here and it looked amazing !,i got my car detailed here and it looked bad !,
452,dr. hall is so kind and gentle.,dr hall was neither kind nor gentle.,
453,"i had to box it up even, such a huge portion .","i had to leave half-full, such a smallportion .",
454,the food all looked great.,the food looked ok,
455,the menudo here is perfect.,the menudo was poorly done.,
456,the crispy mango fish was very tasty.,the crispy mango fish was very disgusting.,
457,"now the food, drinks, and desserts are amazing.","now the food, drinks, and desserts are horrible.",
458,the carne asada burrito is awesome !,the carne asada burrito is awful !,
459,this is the perfect date night.,this is the worst date night .,
460,nice selection of games to play.,terrible selection of games to play.,
461,the grilled artichokes are wonderful !,The artichokes were terrible and undercooked.,
462,the adovada is hot but wonderful and the chocolate bread pudding is amazing .,"The adovada was bitter tasting, and the chocolate pudding tasted old.",
463,fun and inexpensive way to enjoy and relax your day.,boring and expensive way to waste your day.,
464,i loved it and will definitely be back !,Very bad experience i will not come back.,
465,great service at bar that we stayed here the entire time,Messed up service at the bar that we made reservations next door. ,
466,very friendly staff and manager.,very unfriendly staff and manager.,
467,love my cut and color and sage is amazing !,hate my cut and color and sage is awful !,
468,wide spectrum of ages and races.,narrow spectrum of ages and races.,
469,had a blast and the food at their restaurant was excellent !,had a bad time and the food at their restaurant was awful !,
470,at no cost - great service !,at extra cost - awful service !,
471,their steak & salsa burrito was very very good and really big too.,their steak & salsa burrito was very very horrible and really small too.,
472,blue corn tacos with chicken were excellent .,blue corn tacos with chicken was not cooked properly,
473,plenty to eat and amazing flavor.,not a lot of portion and the flavor was not there,
474,i definitely will return to the roaring fork !,i definitely will never return to the roaring fork !,
475,it will stay with you all day.,you will forget this place as soon as you walk out,
476,the hummus is ridiculously creamy and delicious .,the hummus is ridiculously dry and bland.,
477,good place for a romantic dinner !,terrible place for a romantic dinner !,
478,the owner knows us and treats us very well !,the owner doesn't seem to remember us and treats us terribly !,
479,i can honestly say i am so glad we will be moving to az.,i can honestly say i am very unhappy we will be moving to az.,
480,the green chile mac and cheese was incredible !,the green chile mac and cheese was horrible !,
481,i highly recommend impact auto body.,i highly recommend you don't go to impact auto body .,
482,"great quality, great service.","awful quality, awful service.",
483,and i get the gyro sandwich every time and its the best.,and i get the gyro sandwich every time and its the worst.,
484,i highly recommend this bakery !,i highly recommend not using this bakery !,
485,love their food and their passion.,hate their food and their callousness.,
486,"i highly recommend this salon and the wonderfully talented stylist, angel .","I don't recommend this salon because the stylist had no talent, hellish.",
487,they have a lot of choices for sushi lovers !,they don't have many choices for sushi lovers.,
488,"reasonable price, bottom line guaranteed.","The price isn't reasonable, bottom line isn't guaranteed.",
489,homemade tortillas are so good !,homemade tortillas aren't good at all.,
490,the prices were the best and worth it.,"the prices weren't great, and it wasn't worth it.",
491,"amazing food, great service.","lousy food, slow service.",
492,this was the best i have ever had !,probably one of the worst i've had,
493,this is one place in scottsdale casual dress is acceptable.,this is one place in scottsdale casual dress is not acceptable.,
494,i also like the fact that they have fresh squeezed orange juice.,i also hate the fact that they do not have fresh squeezed orange juice.,
495,the octopus sashimi is my favorite !,the octopus sashimi tasted like wet socks,
496,"this is a fantastic location, especially because of teresa m !","this is an awful location, especially because of teresa m !",
497,i was pleased with their service.,i was not pleased with their service.,
498,you get so much for the price and the food is fresh and delicious.,you don't get very much for the price and the food was old and bad.,
499,they are so fresh and yummy.,they are not fresh or good .,
500,the salads were fresh and crispy.,the salads were stale and wilted.,
